"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","yahoofinance","src\main\java\yahoofinance\Stock.java","3","30","Avoid really long classes.","Design","ExcessiveClassLength"
"1","yahoofinance","src\main\java\yahoofinance\StockDataUpdater.java","3","25","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","yahoofinance","src\main\java\yahoofinance\YahooFinance.java","3","46","Avoid really long classes.","Design","ExcessiveClassLength"
"1","yahoofinance.exchanges","src\main\java\yahoofinance\exchanges\ExchangeTimeZone.java","3","15","Avoid really long classes.","Design","ExcessiveClassLength"
"1","yahoofinance.histquotes2","src\main\java\yahoofinance\histquotes2\CrumbManager.java","3","30","Avoid really long classes.","Design","ExcessiveClassLength"
"2","yahoofinance.histquotes2","src\main\java\yahoofinance\histquotes2\CrumbManager.java","3","37","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","yahoofinance.histquotes2","src\main\java\yahoofinance\histquotes2\CrumbManager.java","3","151","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","yahoofinance.histquotes2","src\main\java\yahoofinance\histquotes2\HistDividendsRequest.java","3","23","Avoid really long classes.","Design","ExcessiveClassLength"
"1","yahoofinance.histquotes2","src\main\java\yahoofinance\histquotes2\HistQuotes2Request.java","3","27","Avoid really long classes.","Design","ExcessiveClassLength"
"2","yahoofinance.histquotes2","src\main\java\yahoofinance\histquotes2\HistQuotes2Request.java","3","103","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","yahoofinance.histquotes2","src\main\java\yahoofinance\histquotes2\HistSplitsRequest.java","3","24","Avoid really long classes.","Design","ExcessiveClassLength"
"2","yahoofinance.histquotes2","src\main\java\yahoofinance\histquotes2\HistSplitsRequest.java","3","74","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","yahoofinance.histquotes2","src\main\java\yahoofinance\histquotes2\HistoricalDividend.java","3","14","The class 'HistoricalDividend' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=6, WMC=9)","Design","DataClass"
"1","yahoofinance.histquotes2","src\main\java\yahoofinance\histquotes2\HistoricalSplit.java","3","13","The class 'HistoricalSplit' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=8, WMC=12)","Design","DataClass"
"1","yahoofinance.histquotes","src\main\java\yahoofinance\histquotes\HistQuotesRequest.java","3","29","Avoid really long classes.","Design","ExcessiveClassLength"
"2","yahoofinance.histquotes","src\main\java\yahoofinance\histquotes\HistQuotesRequest.java","3","90","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","yahoofinance.histquotes","src\main\java\yahoofinance\histquotes\HistoricalQuote.java","3","13","Avoid really long classes.","Design","ExcessiveClassLength"
"1","yahoofinance.query2v8","src\main\java\yahoofinance\query2v8\HistQuotesQuery2V8Request.java","3","32","Avoid really long classes.","Design","ExcessiveClassLength"
"2","yahoofinance.query2v8","src\main\java\yahoofinance\query2v8\HistQuotesQuery2V8Request.java","3","94","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","yahoofinance.query2v8","src\main\java\yahoofinance\query2v8\HistQuotesQuery2V8Request.java","3","132","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","yahoofinance.quotes.csv","src\main\java\yahoofinance\quotes\csv\QuotesProperty.java","3","7","Avoid really long classes.","Design","ExcessiveClassLength"
"1","yahoofinance.quotes.csv","src\main\java\yahoofinance\quotes\csv\StockQuotesData.java","3","16","Avoid really long classes.","Design","ExcessiveClassLength"
"2","yahoofinance.quotes.csv","src\main\java\yahoofinance\quotes\csv\StockQuotesData.java","3","32","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","yahoofinance.quotes.csv","src\main\java\yahoofinance\quotes\csv\StockQuotesData.java","3","63","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","yahoofinance.quotes.csv","src\main\java\yahoofinance\quotes\csv\StockQuotesRequest.java","3","10","Avoid really long classes.","Design","ExcessiveClassLength"
"2","yahoofinance.quotes.csv","src\main\java\yahoofinance\quotes\csv\StockQuotesRequest.java","3","107","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","yahoofinance.quotes.fx","src\main\java\yahoofinance\quotes\fx\FxSymbols.java","3","7","Avoid really long classes.","Design","ExcessiveClassLength"
"2","yahoofinance.quotes.fx","src\main\java\yahoofinance\quotes\fx\FxSymbols.java","3","7","The class 'FxSymbols' is suspected to be a Data Class (WOC=0.000%, NOPA=89, NOAM=0, WMC=0)","Design","DataClass"
"1","yahoofinance.quotes.query1v7","src\main\java\yahoofinance\quotes\query1v7\QuotesRequest.java","3","57","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","yahoofinance.quotes.query1v7","src\main\java\yahoofinance\quotes\query1v7\StockQuotesQuery1V7Request.java","3","20","Avoid really long classes.","Design","ExcessiveClassLength"
"2","yahoofinance.quotes.query1v7","src\main\java\yahoofinance\quotes\query1v7\StockQuotesQuery1V7Request.java","3","58","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","yahoofinance.quotes.query1v7","src\main\java\yahoofinance\quotes\query1v7\StockQuotesQuery1V7Request.java","3","94","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","yahoofinance.quotes.query1v7","src\main\java\yahoofinance\quotes\query1v7\StockQuotesQuery1V7Request.java","3","128","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","yahoofinance.quotes.stock","src\main\java\yahoofinance\quotes\stock\StockDividend.java","3","12","The class 'StockDividend' is suspected to be a Data Class (WOC=18.182%, NOPA=0, NOAM=9, WMC=15)","Design","DataClass"
"1","yahoofinance.quotes.stock","src\main\java\yahoofinance\quotes\stock\StockQuote.java","3","16","Avoid really long classes.","Design","ExcessiveClassLength"
"1","yahoofinance.quotes.stock","src\main\java\yahoofinance\quotes\stock\StockStats.java","3","14","Avoid really long classes.","Design","ExcessiveClassLength"
"2","yahoofinance.quotes.stock","src\main\java\yahoofinance\quotes\stock\StockStats.java","3","14","The class 'StockStats' is suspected to be a Data Class (WOC=5.128%, NOPA=0, NOAM=37, WMC=41)","Design","DataClass"
"1","yahoofinance.utils","src\main\java\yahoofinance\utils\BigDecimalUtil.java","3","29","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","yahoofinance.utils","src\main\java\yahoofinance\utils\CalendarUtil.java","3","11","Avoid really long classes.","Design","ExcessiveClassLength"
"2","yahoofinance.utils","src\main\java\yahoofinance\utils\CalendarUtil.java","3","19","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","yahoofinance.utils","src\main\java\yahoofinance\utils\PrimitiveTypesConvertUtils.java","3","19","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","yahoofinance.utils","src\main\java\yahoofinance\utils\RedirectableRequest.java","3","12","The class 'RedirectableRequest' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=8, WMC=22)","Design","DataClass"
"2","yahoofinance.utils","src\main\java\yahoofinance\utils\RedirectableRequest.java","3","37","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","yahoofinance.utils","src\main\java\yahoofinance\utils\Utils.java","3","63","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","yahoofinance","src\test\java\yahoofinance\HistoricalQuoteRequestTest.java","3","21","Avoid really long classes.","Design","ExcessiveClassLength"
"2","yahoofinance","src\test\java\yahoofinance\HistoricalQuoteRequestTest.java","3","38","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","yahoofinance","src\test\java\yahoofinance\HistoricalQuoteRequestTest.java","3","81","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","yahoofinance","src\test\java\yahoofinance\SimpleQuoteRequestTest.java","3","18","Avoid really long classes.","Design","ExcessiveClassLength"
"2","yahoofinance","src\test\java\yahoofinance\SimpleQuoteRequestTest.java","3","21","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","yahoofinance","src\test\java\yahoofinance\SimpleQuoteRequestTest.java","3","91","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","yahoofinance","src\test\java\yahoofinance\SimpleQuoteRequestTest.java","3","125","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","yahoofinance.mock","src\test\java\yahoofinance\mock\MockedServersTest.java","3","27","Avoid really long methods.","Design","ExcessiveMethodLength"
