Date,Open,High,Low,Close,Volume,Adj Close
2016-09-09,199.089996,199.919998,193.699997,194.470001,3742900,194.470001
2016-09-08,199.550003,199.889999,196.360001,197.360001,3370000,197.360001
2016-09-07,205.50,206.50,200.710007,201.710007,3636900,201.710007
2016-09-06,199.020004,203.25,199.00,202.830002,4383100,202.830002
2016-09-02,202.330002,203.199997,196.199997,197.779999,5962700,197.779999
2016-09-01,209.009995,211.100006,200.50,200.770004,7925100,200.770004
2016-08-31,210.429993,212.600006,208.649994,212.009995,3269400,212.009995
2016-08-30,216.110001,216.110001,210.520004,211.339996,3161200,211.339996
2016-08-29,220.149994,220.399994,215.00,215.199997,3257100,215.199997
2016-08-26,222.139999,222.860001,218.820007,219.990005,2225100,219.990005
2016-08-25,223.110001,223.800003,220.770004,220.960007,1756800,220.960007
2016-08-24,227.050003,227.149994,222.220001,222.619995,2564100,222.619995
2016-08-23,224.320007,228.490005,222.800003,224.839996,4745400,224.839996
2016-08-22,224.169998,225.110001,222.679993,222.929993,2060100,222.929993
2016-08-19,223.539993,225.169998,222.529999,225.00,1654500,225.00
2016-08-18,223.820007,225.660004,222.289993,223.509995,1699100,223.509995
2016-08-17,224.330002,224.830002,222.800003,223.240005,1770700,223.240005
2016-08-16,225.490005,227.190002,223.410004,223.610001,2247800,223.610001
2016-08-15,226.020004,229.50,224.929993,225.589996,2015800,225.589996
2016-08-12,225.410004,226.649994,224.039993,225.610001,1813500,225.610001
2016-08-11,226.169998,227.570007,223.410004,224.910004,1875800,224.910004
2016-08-10,228.240005,229.869995,224.619995,225.649994,2308400,225.649994
2016-08-09,226.820007,231.539993,226.649994,229.080002,2193900,229.080002
2016-08-08,228.00,229.600006,226.089996,226.160004,2263600,226.160004
2016-08-05,230.00,232.00,227.399994,230.029999,3205200,230.029999
2016-08-04,225.690002,230.860001,222.050003,230.610001,4147000,230.610001
2016-08-03,227.369995,229.699997,224.210007,225.789993,3887800,225.789993
2016-08-02,229.369995,229.869995,221.399994,227.199997,3934400,227.199997
2016-08-01,235.50,236.630005,229.380005,230.009995,4016300,230.009995
2016-07-29,230.699997,235.279999,230.240005,234.789993,3070800,234.789993
2016-07-28,227.949997,230.759995,226.600006,230.610001,2419100,230.610001
2016-07-27,229.339996,233.360001,226.919998,228.490005,2889000,228.490005
2016-07-26,227.690002,230.00,225.300003,229.509995,3430000,229.509995
